,name,moves_san
52,Benoni Defense:Classical Variation:Averbakh-Grivas Attack:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Bg5 
53,Benoni Defense:Classical Variation:Czerniak Defense:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8
54,Benoni Defense:Classical Variation:Czerniak Defense:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6
55,Benoni Defense:Classical Variation:Czerniak Defense:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6 11.f3 
56,Benoni Defense:Classical Variation:Czerniak Defense:Tal Line,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 
57,Benoni Defense:Classical Variation:Full line:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4 
58,Benoni Defense:Classical Variation:General:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 
59,Benoni Defense:Classical Variation:Main line:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O 
60,Benoni Defense:Classical Variation:New York Variation:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.h3 
61,Benoni Defense:Classical Variation:Traditional Variation:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 
62,Benoni Defense:Czech Benoni Defense::,1.d4 Nf6 2.c4 c5 3.d5 e5
63,Benoni Defense:Fianchetto Variation::,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O
64,Benoni Defense:Fianchetto Variation:Hastings Defense:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7
65,Benoni Defense:Fianchetto Variation:Hastings Defense:Main Line,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7 10.Nd2 a6 11.a4 Re8
66,Benoni Defense:Four Pawns Attack::,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O
67,Benoni Defense:Four Pawns Attack:Main Line:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O 9.Be2 Re8
68,Benoni Defense:Franco-Sicilian Defense::,1.d4 c5 2.d5 e6 3.e4 
69,Benoni Defense:General::,1.d4 c5
70,Benoni Defense:Hromodka System::,1.d4 Nf6 2.c4 c5 3.d5 d6
71,Benoni Defense:King Pawn lines::,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 
72,Benoni Defense:King's Indian System::,1.d4 Nf6 2.c4 c5 3.d5 e5 4.Nc3 d6 5.e4 g6
73,Benoni Defense:Knight's Tour Variation::,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Nd2 
74,Benoni Defense:Mikenas Variation::,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.e5 
75,Benoni Defense:Modern Variation::,1.d4 Nf6 2.c4 c5
76,Benoni Defense:Modern Variation::,1.d4 Nf6 2.c4 c5 3.d5 e6
77,Benoni Defense:Modern Variation:Snake Variation:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 Bd6
78,Benoni Defense:Old Benoni Defense:Clarendon Court Variation:,1.d4 c5 2.d5 f5
79,Benoni Defense:Old Benoni::,1.d4 c5 2.d5 d6
80,Benoni Defense:Old Benoni:Pawn Thrust:,1.d4 c5 2.d5 e5
81,Benoni Defense:Old Benoni:Russian Variation:,1.d4 c5 2.d5 e5 3.e4 d6
82,Benoni Defense:Old Benoni:Schmid  Variation:,1.d4 c5 2.d5 d6 3.Nc3 g6
83,Benoni Defense:Pawn Storm Variation::,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 
84,Benoni Defense:Taimanov Variation::,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Bb5+ 
85,Benoni Defense:Uhlmann Variation::,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Bg5 
86,Benoni Defense:Vulture Defense::,1.d4 c5 2.d5 Nf6 3.c4 Ne4
87,Benoni Defense:Weenink Variation::,1.d4 Nf6 2.c4 c5 3.dxc5 e6
88,Benoni Defense:Woozle::,1.d4 c5 2.d5 Nf6 3.Nc3 Qa5
89,Bird Opening:Dutch Variation::,1.f4 d5
90,Bird Opening:From Gambit::,1.f4 e5
91,Bird Opening:From Gambit:Lasker Variation:,1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5
92,Bird Opening:General::,1.f4 
93,Bird Opening:Lasker Variation::,1.f4 d5 2.Nf3 Nf6 3.e3 c5
94,Bishop's Opening:Berlin Defense::,1.e4 e5 2.Bc4 Nf6
95,Bishop's Opening:Blanel Gambit::,1.e4 e5 2.Bc4 Nf6 3.Nc3 Nxe4
96,Bishop's Opening:Boden-Kieseritsky Gambit::,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Nf3 
97,Bishop's Opening:Boi Variation::,1.e4 e5 2.Bc4 Bc5
98,Bishop's Opening:General::,1.e4 e5 2.Bc4 
99,Bishop's Opening:Ponziani Gambit::,1.e4 e5 2.Bc4 Nf6 3.d4 
100,Bishop's Opening:Urusov Gambit::,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3 
101,Bishop's Opening:Urusov Gambit:Keidansky Gambit:,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3 Nxe4 5.Qxd4 
102,Bishop's Opening:Vienna Hybrid::,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3 
103,Bishop's Opening:Vienna Hybrid:Hromadka Variation:,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3 Bb4 5.Ne2 
104,Bishop's Opening:Vienna Hybrid:Spielmann Attack:,1.e4 e5 2.Bc4 Nf6 3.d3 Bc5 4.Nc3 
105,Blackmar-Diemer Gambit:Declined:Langeheinecke Defense:,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e3
106,Blackmar-Diemer Gambit:Euwe Defense::,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 e6
107,Blackmar-Diemer Gambit:Netherlands Variation::,1.d4 d5 2.e4 dxe4 3.Nc3 f5
108,Blackmar-Diemer Gambit:Ryder Gambit::,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Qxf3 
109,Blackmar-Diemer Gambit:Teichmann Variation::,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 Bg4
110,Blackmar-Diemer Gambit:Vienna Variation::,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bf5
111,Blackmar-Diemer Gambit:Von Popiel Gambit::,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.Bg5 
112,Blumenfeld Countergambit:Accepted::,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.dxe6 fxe6 6.cxb5 d5
113,Blumenfeld Countergambit:Dus-Chotimursky Variation::,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5 
114,Blumenfeld Countergambit:General::,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5
115,Blumenfeld Countergambit:Spielmann Variation::,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5 exd5 6.cxd5 h6
116,Bogo-Indian Defense:Exchange Variation::,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Bxd2+
117,Bogo-Indian Defense:Grünfeld Variation::,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2 
118,Bogo-Indian Defense:Nimzowitsch Variation::,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Qe7
119,Bogo-Indian Defense:Retreat Variation::,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Be7
120,Bogo-Indian Defense:Vitolinsh Variation::,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 c5
121,Bogo-Indian Defense:Wade-Smyslov Variation::,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 a5
122,Borg Defense:General::,1.e4 g5
123,Budapest Defense:Adler Variation::,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3 
124,Budapest Defense:Alekhine Variation::,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 
125,Budapest Defense:Alekhine Variation:Abonyi Variation:,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 Nxe5 5.f4 Nec6
126,Budapest Defense:Fajarowicz Variation::,1.d4 Nf6 2.c4 e5 3.dxe5 Ne4
127,Budapest Defense:General::,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4
128,Budapest Defense:Rubinstein Variation::,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Bf4 
129,Caro-Kann Defense:Accelerated Panov Attack::,1.e4 c6 2.c4 d5
130,Caro-Kann Defense:Accelerated Panov Attack::,1.e4 c6 2.c4 
131,Caro-Kann Defense:Accelerated Panov Attack:Modern Variation:,1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6
132,Caro-Kann Defense:Accelerated Panov Attack:Open Variation:,1.e4 c6 2.c4 e5
133,Caro-Kann Defense:Advance Variation::,1.e4 c6 2.d4 d5 3.e5 
134,Caro-Kann Defense:Advance Variation:Bayonet Attack:,1.e4 c6 2.d4 d5 3.e5 Bf5 4.g4 
135,Caro-Kann Defense:Advance Variation:Botvinnik-Carls Defense:,1.e4 c6 2.d4 d5 3.e5 c5
136,Caro-Kann Defense:Advance Variation:Bronstein Variation:,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Ne2 
137,Caro-Kann Defense:Advance Variation:Short Variation:,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3 
138,Caro-Kann Defense:Advance Variation:Tal Variation:,1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4 
139,Caro-Kann Defense:Advance Variation:Van der Wiel Attack:,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 
140,Caro-Kann Defense:Advance Variation:Van der Wiel Attack:Bishop Hunt,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 e6 5.g4 Bg6 6.Nge2 c5 7.h4 
141,Caro-Kann Defense:Advance Variation:Van der Wiel Attack:Dreyev Defense,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 Qb6
142,Caro-Kann Defense:Breyer Variation::,1.e4 c6 2.d3 
143,Caro-Kann Defense:Bronstein-Larsen Variation::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ gxf6
144,Caro-Kann Defense:Classical Variation::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5
145,Caro-Kann Defense:Classical Variation:Flohr Variation:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.Nh3 
146,Caro-Kann Defense:Classical Variation:Lobron System:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3 e6 11.Bd2 Ngf6 12.O-O-O Be7
147,Caro-Kann Defense:Classical Variation:Main lines:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 
148,Caro-Kann Defense:Classical Variation:Maroczy Attack:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.f4 
149,Caro-Kann Defense:Classical Variation:Seirawan Variation:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3 
150,Caro-Kann Defense:De Bruycker Defense::,1.e4 c6 2.d4 Na6
151,Caro-Kann Defense:Euwe Attack::,1.e4 c6 2.b3 
152,Caro-Kann Defense:Exchange  Variation:Rubinstein Variation:,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 5.c3 Nf6 6.Bf4 
153,Caro-Kann Defense:Exchange Variation::,1.e4 c6 2.d4 d5 3.exd5 
154,Caro-Kann Defense:Finnish Variation::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 h6
155,Caro-Kann Defense:Forgacs Variation::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ exf6 6.Bc4 
156,Caro-Kann Defense:General::,1.e4 c6
157,Caro-Kann Defense:Goldman Variation::,1.e4 c6 2.Nc3 d5 3.Qf3 
158,Caro-Kann Defense:Gurgenidze Counterattack::,1.e4 c6 2.d4 d5 3.Nc3 b5
159,Caro-Kann Defense:Gurgenidze System::,1.e4 c6 2.d4 d5 3.Nc3 g6
160,Caro-Kann Defense:Hillbilly Attack::,1.e4 c6 2.Bc4 
161,Caro-Kann Defense:Karpov Variation::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7
162,Caro-Kann Defense:Karpov Variation:Modern Main Line:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5 Ngf6 6.Bd3 e6 7.N1f3 Bd6 8.Qe2 h6 9.Ne4 Nxe4 10.Qxe4 
163,Caro-Kann Defense:Karpov Variation:Modern Variation:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5 
164,Caro-Kann Defense:Karpov Variation:Modern Variation:Ivanchuk Defense,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5 Ndf6
165,Caro-Kann Defense:Karpov Variation:Modern Variation:Kasparov Attack,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Nf3 Ngf6 6.Ng3 
166,Caro-Kann Defense:Karpov Variation:Smyslov Variation:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Bc4 Ngf6 6.Ng5 e6 7.Qe2 Nb6
167,Caro-Kann Defense:Karpov Variation:Smyslov Variation:Main Line,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Bc4 Ngf6 6.Ng5 e6 7.Qe2 Nb6 8.Bb3 
168,Caro-Kann Defense:Karpov Variation:Tiviakov-Fischer Attack:,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Bc4 Ngf6 6.Nxf6+ Nxf6
169,Caro-Kann Defense:Main Line::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 
170,Caro-Kann Defense:Maroczy Variation::,1.e4 c6 2.d4 d5 3.f3 
171,Caro-Kann Defense:Maroczy Variation:Maroczy Gambit:,1.e4 c6 2.d4 d5 3.f3 dxe4 4.fxe4 e5 5.Nf3 exd4 6.Bc4 
172,Caro-Kann Defense:Modern Variation::,1.e4 c6 2.d4 d5 3.Nd2 
173,Caro-Kann Defense:Panov Attack::,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 
174,Caro-Kann Defense:Panov Attack::,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 
175,Caro-Kann Defense:Panov Attack::,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 e6
176,Caro-Kann Defense:Panov Attack:Fianchetto Defense:,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 g6
177,Caro-Kann Defense:Panov Attack:Fianchetto Defense:Fianchetto Gambit,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 g6 6.cxd5 Bg7
178,Caro-Kann Defense:Panov Attack:Gunderam Attack:,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.c5 
179,Caro-Kann Defense:Panov Attack:Modern Defense:,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 Nc6
180,Caro-Kann Defense:Panov Attack:Modern Defense:Carlsbad Line,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 Nc6 6.Bg5 e6
181,Caro-Kann Defense:Panov Attack:Modern Defense:Czerniak Line,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 Nc6 6.Bg5 Qa5
182,Caro-Kann Defense:Panov Attack:Modern Defense:Mieses Line,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 Nc6 6.Nf3 Bg4
183,Caro-Kann Defense:Rasa-Studier Gambit::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.f3 
184,Caro-Kann Defense:Standard:Unorthodox Replies:,1.e4 c6 2.d4 d5 3.Nc3 
185,Caro-Kann Defense:Tartakower Variation::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ exf6
186,Caro-Kann Defense:Two Knights Attack::,1.e4 c6 2.Nc3 d5 3.Nf3 
187,Caro-Kann Defense:Two Knights Attack:Mindeno Variation:,1.e4 c6 2.Nc3 d5 3.Nf3 Bg4
188,Caro-Kann Defense:Two Knights Attack:Mindeno Variation:Exchange Line,1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3
189,Caro-Kann Defense:Two Knights Attack:Mindeno Variation:Retreat Line,1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bh5
190,Caro-Kann Defense:Von Hennig Gambit::,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Bc4 
191,Catalan Opening:Closed Variation::,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Qc2 
192,Catalan Opening:Closed Variation::,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 
193,Catalan Opening:Closed Variation::,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7
194,Catalan Opening:Closed Variation::,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 
195,Catalan Opening:Closed Variation:Botvinnik Variation:,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Nc3 c6 8.Qd3 
196,Catalan Opening:Closed Variation:Rabinovich Variation:,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Qc2 c6 8.Nbd2 b5
197,Catalan Opening:Closed Variation:Traditional Variation:,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Qc2 c6 8.Nbd2 b6
198,Catalan Opening:General::,1.d4 Nf6 2.c4 e6 3.g3 
199,Catalan Opening:Open Defense::,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Nf3 
200,Catalan Opening:Open Defense::,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Qa4+ 
